date,active_users,new_signups,retention_rate,sessions,avg_session_time,conversion_rate,revenue,CAC,data_pull_date
2025-10-01,1200,150,0.82,3400,5.6,0.045,5200,22.5,13/10/2025
2025-10-02,1225,155,0.82,3460,5.6,0.046,5290,22.2,13/10/2025
2025-10-03,1250,160,0.83,3520,5.7,0.047,5380,21.9,13/10/2025
2025-10-04,1275,165,0.83,3580,5.8,0.048,5470,21.6,13/10/2025
2025-10-05,1300,170,0.84,3640,5.8,0.049,5560,21.3,13/10/2025
2025-10-06,1325,175,0.84,3700,5.8,0.05,5650,21.0,13/10/2025
2025-10-07,1350,180,0.85,3760,5.9,0.051,5740,20.7,13/10/2025
2025-10-08,1375,185,0.85,3820,5.9,0.052,5830,20.4,13/10/2025
2025-10-09,1400,190,0.86,3880,6.0,0.053,5920,20.1,13/10/2025
2025-10-10,1425,195,0.86,3940,6.0,0.054,6010,19.8,13/10/2025
2025-10-11,1450,200,0.87,4000,6.1,0.055,6100,19.5,13/10/2025
2025-10-12,1475,205,0.88,4060,6.1,0.056,6190,19.2,13/10/2025
